Address,link,price,beds,baths,sqft,view_yn,yr_built,cooling_yn,has_hoa,senior_community_yn,style,county,new_construction_yn
16500 Lake Forest Blvd,https://www.redfin.com/OR/Lake-Oswego/16500-Lake-Forest-Blvd-97035/home/26024466,549900,3,1,960,Yes,1970,Yes,No,No,Single Family Residential,Clackamas County,No
19251 Indian Creek Ave,https://www.redfin.com/OR/Lake-Oswego/19251-Indian-Creek-Ave-97035/home/25832535,705000,3,2,1551,Yes,1971,Yes,No,No,Single Family Residential,Clackamas County,No
3672 Tempest Dr,https://www.redfin.com/OR/Lake-Oswego/3672-Tempest-Dr-97035/home/26074486,1230000,3,3,3317,Yes,1983,Yes,Yes,No,Single Family Residential,Clackamas County,No
12815 Sierra Vista Dr,https://www.redfin.com/OR/Lake-Oswego/12815-Sierra-Vista-Dr-97035/home/26059678,1104850,4,2.5,2944,No,1990,No,No,No,Single Family Residential,Clackamas County,No
5552 Yorkshire Pl,https://www.redfin.com/OR/Lake-Oswego/5552-Yorkshire-Pl-97035/home/25766714,1150000,4,2.5,2637,No,1992,Yes,No,No,Single Family Residential,Clackamas County,No
4000 Carman Dr Unit A4,https://www.redfin.com/OR/Lake-Oswego/4000-Carman-Dr-97035/unit-A4/home/26066305,275000,1,1,836,Yes,1988,No,Yes,No,Condo/Co-op,Clackamas County,No
16819 Allen Rd,https://www.redfin.com/OR/Lake-Oswego/16819-Allen-Rd-97035/home/25865217,6500000,4,3.5,4882,Yes,2007,Yes,No,No,Single Family Residential,Clackamas County,No
3232 Lakeview Blvd,https://www.redfin.com/OR/Lake-Oswego/3232-Lakeview-Blvd-97035/home/25763974,5300000,4,5.5,8170,Yes,2000,Yes,Yes,No,Single Family Residential,Clackamas County,No
6159 Fernbrook Cir,https://www.redfin.com/OR/Lake-Oswego/6159-Fernbrook-Cir-97035/home/26084142,612094,3,1,912,No,1963,No,No,No,Single Family Residential,Clackamas County,No
16 Grouse Ter,https://www.redfin.com/OR/Lake-Oswego/16-Grouse-Ter-97035/home/26642690,850000,3,2.5,2627,Yes,1990,Yes,Yes,No,Single Family Residential,Multnomah County,No
86 Kingsgate Rd #77,https://www.redfin.com/OR/Lake-Oswego/86-Kingsgate-Rd-97035/unit-77/home/26092289,293950,2,2,849,No,1985,No,No,No,Condo/Co-op,Clackamas County,No
44 Greenridge Ct,https://www.redfin.com/OR/Lake-Oswego/44-Greenridge-Ct-97035/home/25993484,550000,3,2.5,1996,No,1970,Yes,Yes,No,Single Family Residential,Clackamas County,No
86 Kingsgate Rd #43,https://www.redfin.com/OR/Lake-Oswego/86-Kingsgate-Rd-97035/unit-43/home/26063774,299145,2,2,924,No,1985,No,No,No,Condo/Co-op,Clackamas County,No
4991 Centerwood St,https://www.redfin.com/OR/Lake-Oswego/4991-Centerwood-St-97035/home/26041116,983000,4,2.5,2433,No,1976,Yes,Yes,No,Single Family Residential,Clackamas County,No
